pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P06,12,robotic,counter,3,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.1671244937540095,1.8,6.5,1.0,1.7142857142857142,2.0
P07,1,clone,counter,7,2.0,4.0,6.0,2.0,1.0,6.0,1.0,1.0,7.0,1.7677669529663689,1.4,3.0,7.0,2.4285714285714284,2.0
P07,2,clone,enhance,9,4.0,3.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,2.326094212561969,2.4,6.0,2.0,2.2857142857142856,5.0
P07,3,clone,repeat,11,7.0,7.0,7.0,7.0,7.0,1.0,5.0,7.0,10.0,2.9760952365713798,6.6,1.0,10.0,6.714285714285714,7.0
P07,4,clone,counter,1,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.948970764763288,1.0,6.5,1.0,1.1428571428571428,1.0
P07,5,clone,enhance,3,3.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,6.0,1.164964745021435,1.8,3.5,6.0,2.5714285714285716,3.0
P07,6,clone,repeat,5,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,10.0,3.2071349029490928,5.8,1.0,10.0,6.142857142857143,7.0
P07,7,robotic,repeat,8,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,10.0,3.2071349029490928,5.8,1.0,10.0,6.142857142857143,7.0
P07,8,robotic,enhance,10,4.0,5.0,4.0,3.0,1.0,3.0,1.0,1.0,8.0,1.3093073414159542,2.0,3.5,8.0,2.7142857142857144,3.0
P07,9,robotic,counter,12,2.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.187627547301936,1.2,5.5,1.0,1.5714285714285714,1.0
P07,10,robotic,repeat,2,4.0,5.0,6.0,5.0,1.0,2.0,1.0,1.0,10.0,1.5059406173077154,2.4,2.5,10.0,3.2857142857142856,5.0
P07,11,robotic,enhance,4,2.0,4.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,1.5118578920369088,1.6,3.5,5.0,2.4285714285714284,3.0
P07,12,robotic,counter,6,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.948970764763288,1.0,6.5,1.0,1.1428571428571428,1.0
P09,1,clone,repeat,9,7.0,1.0,6.0,7.0,7.0,7.0,7.0,7.0,10.0,1.7677669529663689,7.0,4.5,10.0,6.0,7.0
P09,2,clone,counter,11,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1213203435596424,1.0,4.0,1.0,1.8571428571428572,1.0
P09,3,clone,enhance,1,2.0,4.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.164964745021435,1.2,2.5,1.0,2.4285714285714284,1.0
P09,5,clone,counter,5,2.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,0.3535533905932738,1.8,2.0,2.0,3.0,2.0
P09,6,clone,enhance,7,2.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4629100498862757,1.2,1.5,2.0,2.7142857142857144,1.0
P09,8,robotic,counter,12,7.0,1.0,1.0,7.0,6.0,7.0,7.0,7.0,10.0,0.3535533905932738,6.8,7.0,10.0,5.142857142857143,7.0
