trial,index,question_text,answer_index,answer_text,pp,SUS
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),1,,P04,1.0
12,8,8. I was not aware of my real environment,1,,P04,1.0
12,9,9. I still paid attention to the real environment,5,,P04,5.0
12,10,10. I was completely captivated by the virtual world,2,,P04,2.0
12,11,11. How real did the virtual world seem to you?,6,,P04,6.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,2,,P04,2.0
12,13,13. How real did the virtual world seem to you?,1,,P04,1.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P04,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,1,,P04,1.0
12,16,16. I felt like I was controlling the movements of the virtual body.,4,,P04,4.0
12,1,1. In the computer generated world I had a sense of being there,4,,P22,4.0
12,2,2. Somehow I felt that the virtual world surrounded me,3,,P22,3.0
12,3,3. I felt like I was just perceiving pictures,3,,P22,3.0
12,4,4. I did not feel present in the virtual space,5,,P22,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,3,,P22,3.0
12,6,6. I felt present in the virtual space,5,,P22,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),4,,P22,4.0
12,8,8. I was not aware of my real environment,3,,P22,3.0
12,9,9. I still paid attention to the real environment,5,,P22,5.0
12,10,10. I was completely captivated by the virtual world,3,,P22,3.0
12,11,11. How real did the virtual world seem to you?,5,,P22,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,5,,P22,5.0
12,13,13. How real did the virtual world seem to you?,4,,P22,4.0
12,14,14. The virtual world seemed more realistic than the real world,2,,P22,2.0
12,15,15. The movements of the virtual body felt like they were my movements.,5,,P22,5.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P22,5.0
12,1,1. In the computer generated world I had a sense of being there,5,,P25,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,3,,P25,3.0
12,3,3. I felt like I was just perceiving pictures,3,,P25,3.0
12,4,4. I did not feel present in the virtual space,5,,P25,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,5,,P25,5.0
12,6,6. I felt present in the virtual space,5,,P25,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),5,,P25,5.0
12,8,8. I was not aware of my real environment,4,,P25,4.0
12,9,9. I still paid attention to the real environment,3,,P25,3.0
12,10,10. I was completely captivated by the virtual world,4,,P25,4.0
12,11,11. How real did the virtual world seem to you?,5,,P25,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,4,,P25,4.0
12,13,13. How real did the virtual world seem to you?,3,,P25,3.0
12,14,14. The virtual world seemed more realistic than the real world,2,,P25,2.0
12,15,15. The movements of the virtual body felt like they were my movements.,5,,P25,5.0
12,16,16. I felt like I was controlling the movements of the virtual body.,6,,P25,6.0
12,1,1. In the computer generated world I had a sense of being there,2,,P13,2.0
12,2,2. Somehow I felt that the virtual world surrounded me,1,,P13,1.0
12,3,3. I felt like I was just perceiving pictures,6,,P13,6.0
12,4,4. I did not feel present in the virtual space,3,,P13,3.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,4,,P13,4.0
12,6,6. I felt present in the virtual space,4,,P13,4.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),1,,P13,1.0
12,8,8. I was not aware of my real environment,1,,P13,1.0
12,9,9. I still paid attention to the real environment,6,,P13,6.0
12,10,10. I was completely captivated by the virtual world,3,,P13,3.0
12,11,11. How real did the virtual world seem to you?,7,,P13,7.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,1,,P13,1.0
12,13,13. How real did the virtual world seem to you?,1,,P13,1.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P13,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,1,,P13,1.0
12,16,16. I felt like I was controlling the movements of the virtual body.,1,,P13,1.0
12,1,1. In the computer generated world I had a sense of being there,3,,P14,3.0
12,2,2. Somehow I felt that the virtual world surrounded me,2,,P14,2.0
12,3,3. I felt like I was just perceiving pictures,2,,P14,2.0
12,4,4. I did not feel present in the virtual space,5,,P14,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,6,,P14,6.0
12,6,6. I felt present in the virtual space,5,,P14,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),3,,P14,3.0
12,8,8. I was not aware of my real environment,5,,P14,5.0
12,9,9. I still paid attention to the real environment,4,,P14,4.0
12,10,10. I was completely captivated by the virtual world,2,,P14,2.0
12,11,11. How real did the virtual world seem to you?,6,,P14,6.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,2,,P14,2.0
12,13,13. How real did the virtual world seem to you?,2,,P14,2.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P14,1.0
